CCODE,Country,EVI,Exposure index,Population,Remoteness,Share of population in low elevated coastal zones ,Economic structure index,Export concentration,Shares of agriculture and forestry and fisheries,Shock index,Natural Shock index,Victims of natural disasters (%),Agricultural instability,Export instability,HAI,Health index,Prevalence of undernourishment  in total population (%),Under 5 mortality (per 1000),Maternal mortality (per 100 000 live birth),Education index,Literacy rate,Gross secondary enrolment ratio,GNI per capita ($)
LKA,Sri Lanka,25.0,23.8,20798492.00,5264.44,2.98,12.44,0.20,8.54,26.09,52.17,3.96,4.56,4.84,91.88,89.79,22.10,9.40,30.29,93.97,91.18,99.72,3773.36
SDN,Sudan,49.2,27.3,39578828.00,4179.80,0.30,58.63,0.65,32.04,71.17,43.78,1.55,3.73,34.57,53.04,68.89,25.60,65.10,310.85,37.18,53.52,42.70,1452.06
SUR,Suriname,51.1,67.6,558368.00,6014.42,56.19,31.60,0.51,9.89,34.54,44.86,0.31,8.04,12.27,88.47,92.18,7.90,20.00,155.16,84.77,92.87,81.14,8394.02
SWZ,Swaziland,36.2,44.6,1343098.00,8075.17,0.00,15.20,0.23,9.98,27.78,53.57,9.49,2.95,5.60,69.42,68.97,19.60,70.40,389.05,69.86,83.10,66.03,2764.37
SYR,Syrian Arab Republic,33.6,14.6,18430453.00,2890.35,0.13,20.68,0.17,20.60,52.50,54.06,0.42,10.70,20.28,79.77,96.18,6.00,17.50,67.62,63.36,86.30,50.49,1523.49
TJK,Tajikistan,35.9,30.7,8734951.00,3943.36,0.00,35.20,0.35,24.94,40.97,55.81,4.79,5.44,12.84,85.87,78.62,30.10,43.10,31.98,93.13,99.78,87.89,1309.00
THA,Thailand,23.7,21.1,68863514.00,4650.03,10.34,6.82,0.08,9.05,26.30,50.97,5.96,3.12,5.49,95.94,96.63,9.50,12.20,20.29,95.25,92.87,129.00,5706.39
TLS,Timor-Leste,56.8,43.2,1268671.00,6998.23,0.94,34.33,0.59,7.73,70.38,40.75,0.55,5.15,45.97,66.63,73.97,26.90,49.70,214.64,59.30,58.31,76.76,2655.93
TGO,Togo,28.3,31.9,7606374.00,5027.24,3.61,30.48,0.22,28.67,24.76,38.86,0.34,5.60,8.20,61.83,72.98,11.50,75.70,368.24,50.67,63.75,54.71,554.94
TON,Tonga,56.0,75.0,107122.00,10218.19,27.33,28.60,0.32,19.54,36.98,49.99,1.41,6.27,12.19,94.74,95.39,5.00,16.40,123.95,94.09,99.39,90.10,4245.65
